Id,Enunciado,Tópico,Contexto,English
994,"Meu primeiro programa
Escreva um programa que imprima na tela do computador a seguinte mensagem:
Universidade Federal do Amazonas
",Ambientação,Outros,"""My first show
Write a program that prints the following message on your computer screen:
Federal University of Amazonas
""
"" "
996,"Impressão de caracteres na tela
Escreva um programa que imprima na tela do computador a seguinte figura:
  *****(* o o *) *  ^  * * --- *  *****
",Ambientação,Outros,"
Screen character printing
Write a program that prints on the computer screen the following figure:
***** (* oo *) * ^ * * --- * *****
""
"" "
999,"Impressão de caracteres na tela (Bart Simpson)
Escreva um programa que imprima na tela do computador a seguinte figura:
  |\/\/\/\/\/|
  |          |
  |          |
  |          |
  |    __  __|
  |   /  \/  \
  |  (o   )o  )
 /C   \__/ --.
 \_   ,     -'
  |  '\_______)
  |      _)
  |     |
 /`-----'\
/         \
 
",Ambientação,Outros,"
Screen Character Printing (Bart Simpson)
Write a program that prints on the computer screen the following figure:
| \ / \ / \ / \ / \ / |
|
|
|
|
|
|
| __ __ |
| / \ / \
| (o) o)
/Ç \__/ --.
\ _, - '
| '\ _______)
| _)
| |
/ `----- '\
/
\
""
"" "
1000,"Operadores aritméticos
Qual o valor de X para que a expressão abaixo seja igual a cem? Escreva um programa que imprima o valor dessa expressão na tela, substituindo o X pelo valor que você encontrou.
print(8 * 7 + X)
",Ambientação,Matemático,"
Arithmetic Operators
What is the value of X so that the expression below is one hundred? Write one
program that prints the value of this expression on the screen, replacing X with
value you found.
print (8 * 7 + X)
""
"" "
578,"Operadores aritméticos 
Qual o valor de Y para que a expressão abaixo seja igual a zero? Escreva um programa que imprima o resultado dessa expressão na tela. Substitua o Y pelo valor que você encontrou.
print(3 * 4 + 6 ** 2 - Y)
",Ambientação,Matemático,"
Arithmetic Operators
What is the value of Y so that the expression below is zero? Write one
program that prints the result of this expression on the screen. Replace Y with
value you found.
print (3 * 4 + 6 ** 2 - Y)
""
"" "
1001,"Escreva um programa que exiba a mensagem abaixo, trocando o XXX pela idade da UFAM (consulte o Google, se você não souber o ano de fundação da UFAM):
A UFAM tem XXX anos de fundacao.
",Ambientação,Outros,"
Write a program that displays the message below, exchanging XXX for the age of
UFAM (see Google if you don't know UFAM's founding year):
UFAM is XXX years old.
""
"" "
797,"Arredondamento
Escreva um programa que apresente o valor da raiz quadrada de 2, com oito casas decimais de precisão.
",Ambientação,Matemático,"
Rounding
Write a program that has the square root value of 2, with eight squares
precision decimals.
""
"" "
835,"Custo da pintura de um muro
O custo total da pintura de um muro é a soma de duas parcelas:

Custo do serviço por m² multiplicado pela área do muro.
Custo fixo com material de pintura.

Um muro tem 12,0 m de comprimento e 3,0 m de altura.
O custo fixo é de R$ 100,00 com material de pintura (galão de tinta, lixa, rolo, etc.).
Escreva um programa que leia o custo do serviço de pintura por m². Como saída, imprima o custo total da pintura do muro, com até duas casas decimais de precisão.
",Variáveis e Estrutura Sequencial,Comercial,"
Cost of painting a wall
The total cost of painting a wall is the sum of two installments:
Service cost per m² multiplied by the wall area.
Fixed cost with paint material.
A wall is 12.0 m long and 3.0 m high.
The fixed cost is $ 100.00 with paint material (gallon of paint, sandpaper, roller,
etc.).
Write a program that reads the cost of painting service per square foot. As a way out,
print the total cost of painting the wall, with up to two decimal places of
precision.
""
"" "
587,"Custo da pintura de uma fachada
O custo total de pintura da fachada de um prédio depende de três informações:

Altura da fachada, em metros
Comprimento da fachada, em metros
Valor do serviço de pintura por m²

Escreva um programa que leia as informações acima, na ordem apresentada, e determine o custo total da pintura de uma fachada.
",Variáveis e Estrutura Sequencial,Comercial,"
Cost of painting a facade
The total cost of painting the facade of a building depends on three pieces of information:
Facade height, in meters
Facade length, in meters
Value of painting service per m²
Write a program that reads the information above, in the order presented, and
determine the total cost of painting a facade.
""
"" "
820,"Caixa eletrônico
Um cliente de um banco deseja sacar uma quantia no caixa eletrônico, que tem apenas notas de R$50, R$10 e R$2 disponíveis.
Escreva um programa que leia o valor a ser sacado pelo cliente. Como saída, determine quantas notas de cada tipo o caixa deve fornecer.
Por simplicidade, considere que:

O cliente sempre pede uma quantia par e maior que zero;
O cliente tem saldo suficiente no banco; e
O caixa eletrônico tem uma quantidade INFINITA de notas de cada tipo.

",Variáveis e Estrutura Sequencial,Bancário,"
Cash machine
A bank customer wants to withdraw an amount from the ATM, which has
only $ 50, $ 10 and $ 2 banknotes available.
Write a program that reads the value to be drawn by the customer. As a way out,
determine how many notes of each type the cashier should provide.
For simplicity, consider that:
The customer always asks for an even amount and greater than zero;
The customer has sufficient balance in the bank; and
The ATM has an INFINITE amount of banknotes of each type.
""
"" "
588,"Outro Caixa Eletrônico
Um cliente deseja sacar uma quantia no caixa eletrônico. Apenas as notas de R$100, R$50 e R$10 estão disponíveis na máquina.
Escreva um programa que leia o valor que o cliente quer sacar. Como saída, determine e imprima quantas notas de cada tipo devem ser entregues ao cliente.
Por simplicidade, considere que:

O cliente sempre pede uma quantia maior que zero e múltipla de dez;
O cliente tem saldo suficiente no banco; e
O caixa eletrônico tem uma quantidade INFINITA de notas de cada tipo. 

",Variáveis e Estrutura Sequencial,Bancário,"
Other ATM
A customer wants to withdraw an amount from the ATM. Only the notes of
$ 100, $ 50, and $ 10 are available on the machine.
Write a program that reads the value the customer wants to cash out. As a way out,
determine and print how many notes of each type should be delivered to the customer.
For simplicity, consider that:
The customer always asks for a value greater than zero and multiple of ten;
The customer has sufficient balance in the bank; and
The ATM has an INFINITE amount of banknotes of each type.
""
"" "
1014,"O lucro de Bilichilde 
Bilichilde é consultora de uma linha de cosméticos. Seu lucro sobre o valor total de vendas é de 30%.
Escreva um programa que leia o total de vendas de Bilichilde. Como saída, determine o valor do lucro obtido (em reais).
",Variáveis e Estrutura Sequencial,Comercial,"
Bilichilde's Profit
Bilichilde is a consultant for a cosmetics line. Your profit on value
Total sales is 30%.
Write a program that reads Bilichilde's total sales. As a way out,
determine the amount of profit earned (in reais).
""
"" "
1015,"Ordem crescente
Escreva um programa que leia três números inteiros a partir do teclado. Como saída, imprima os valores em ordem crescente.
 
",Estrutura condicional composta,Matemático,"
Ascending order
Write a program that reads three whole numbers from the keyboard. How
output, print the values ​​in ascending order.
""
"" "
825,"Área do Círculo e Volume da Esfera
Escreva um programa que leia o valor de um raio r, inserido via teclado. 
Como saída, determine as seguintes informações, nesta ordem:

Área de um círculo com o raio r.
Volume de uma esfera com raio r.

Arredonde os resultados com até 03 casas decimais de precisão.
",Variáveis e Estrutura Sequencial,Matemático,"
Circle Area and Sphere Volume
Write a program that reads the value of a radius r, entered via the keyboard.
As output, determine the following information, in this order:
Area of ​​a circle with radius r.
Volume of a sphere with radius r.
Round results to up to 03 decimal places for accuracy.
""
"" "
